,condition,mean,std,2.5q,25q,50q,75q,97.5q,mc err
14,t_C(site_loc)[dACC]_subj.902,0.31299524248590127,0.011207067224378833,0.28643662010418797,0.3064727380450826,0.31437486853637925,0.3212480331670615,0.3301173721132705,0.00023954321536390314
15,t_C(site_loc)[dACC]_subj.904,0.2649134488391445,0.015394445424785318,0.2301020326042478,0.2556928323100616,0.2665650134519568,0.27602441462100574,0.28915789859451024,0.0002923222276687787
16,t_C(site_loc)[dACC]_subj.906,0.23352180827679817,0.021995038122313064,0.18284291307864248,0.22063603900497641,0.23609754798762944,0.24918925350436416,0.26840496585949997,0.0005275948994078344
17,t_C(site_loc)[dACC]_subj.907,0.21485276053940622,0.018692449869404163,0.17142150802035278,0.20415280801006447,0.2173324043892265,0.22817837148527062,0.24441767154650737,0.0003999232256880744
18,t_C(site_loc)[dACC]_subj.908,0.19978837247654063,0.012125567428361555,0.17249211328529815,0.1928032393137373,0.20082906739971476,0.2083786730729641,0.21957428433421428,0.0003105112767700042
19,t_C(site_loc)[dACC]_subj.910,0.4680594599209552,0.028485333839985243,0.40095875524945906,0.45188530727559023,0.4723736815544071,0.48877760669660986,0.5119067982122528,0.0006621055752631319
20,t_C(site_loc)[dACC]_subj.911,0.2546418851760487,0.03224926140751974,0.1833486248179622,0.23550450260621997,0.2577001122969227,0.2775786284606247,0.3075943670069407,0.0006488684163012271
21,t_C(site_loc)[dACC]_subj.912,0.2685282882152586,0.01730511072333221,0.22978252074249444,0.25822255307255615,0.2707236911223636,0.2809754062756464,0.29639921932850377,0.00035950623315318464
22,t_C(site_loc)[dACC]_subj.913,0.23181585442606278,0.014104365801393386,0.19907244237033067,0.22319753769338574,0.23346227621866164,0.24214709472444085,0.2538840097623393,0.0002627165721356698
23,t_C(site_loc)[dACC]_subj.914,0.11676980686262242,0.01980499145314736,0.07397092675985278,0.10404895251904009,0.11859665194537226,0.13101390363009263,0.15132117088664376,0.0004962665094501935
24,a_C(site_loc)[PCC],1.6407797377639417,0.10555201015945333,1.453759176593987,1.5726979947789554,1.6356252778453617,1.6999446233480378,1.8607724667938954,0.00176714729786849
25,a_C(site_loc)[PCC]_std,0.3012309803768975,0.09664270715539929,0.17072280555696495,0.2343573813059533,0.2832110017357148,0.34620390920789534,0.532756167768872,0.002247927991809266
26,a_C(site_loc)[PCC]_subj.902,1.2132751182537036,0.06363737201072583,1.0963453825879435,1.1697018659710248,1.2110926859734983,1.2540598839217099,1.3453446354420568,0.0013649486324081568
27,a_C(site_loc)[PCC]_subj.904,1.7328784746549808,0.09726791296907639,1.5527304854159876,1.667052934372863,1.7289101707264818,1.7947465935920661,1.936098876363179,0.0016372366296982534
28,a_C(site_loc)[PCC]_subj.906,1.9117450916964727,0.10114418846725619,1.7242130045829276,1.8406047187224472,1.9093036331593782,1.978356809985202,2.1192897945726665,0.002104108197701967
29,a_C(site_loc)[PCC]_subj.907,1.797737981801102,0.10800902622794152,1.59887047505621,1.7232534633184267,1.7948453306077152,1.8655270778454496,2.0266584194934096,0.002874112687966851
30,a_C(site_loc)[PCC]_subj.908,1.3824093253935141,0.07679201464040811,1.2400323453183257,1.3294310803736222,1.3796563882568387,1.4333354469902497,1.5427359720775553,0.0014337975194362242
31,a_C(site_loc)[PCC]_subj.910,1.948335145575675,0.1238384590543292,1.727776453444648,1.8612745783655065,1.940118627747338,2.027334250621886,2.212967369628663,0.003254115778666749
32,a_C(site_loc)[PCC]_subj.911,1.7872850723651972,0.09436451484793011,1.6140152741648586,1.7205856432378965,1.7828736886444994,1.8483152248858832,1.9861686982065074,0.001818917916532392
33,a_C(site_loc)[PCC]_subj.912,1.5358245579309417,0.08772974055201885,1.3771791458433094,1.4751338671095218,1.5302812104903425,1.592255361430407,1.7189001847581131,0.001882290345426876
34,a_C(site_loc)[PCC]_subj.913,1.4774605284992437,0.07767098478365311,1.3348208902730287,1.4228711749074763,1.4741588879463874,1.5291930250191565,1.6387288746551145,0.0015305474502998984
35,a_C(site_loc)[PCC]_subj.914,1.5582362254895206,0.0818367805601911,1.4032780956450797,1.5018567030541101,1.555957694695302,1.614007970711557,1.7251397453131558,0.0016445601161330765
36,a_C(site_loc)[dACC],1.7161353405016562,0.11999287470259944,1.4984703962955228,1.6378030451729755,1.7094887011595163,1.7857513931841749,1.9761993106884757,0.0021303972635464243
37,a_C(site_loc)[dACC]_std,0.3534468606195769,0.11230105706140295,0.20272792391919936,0.2760064405025656,0.33143402439341624,0.40638515589406976,0.624250577743729,0.002944457633475971
38,a_C(site_loc)[dACC]_subj.902,1.3417019949587004,0.07762626982939116,1.1984138792312917,1.288027092701857,1.3383567443945223,1.3918164268547666,1.503542839121343,0.0016755144428026083
39,a_C(site_loc)[dACC]_subj.904,1.6928541248121989,0.09046452802148376,1.5286960812513692,1.6301222590335556,1.6896992247470997,1.7516922925477862,1.8803961427033116,0.0018977553689225406
40,a_C(site_loc)[dACC]_subj.906,1.817835742786558,0.11371537732565827,1.6060969895716535,1.7376226125925938,1.813490091201756,1.8908231551281471,2.0539758393397634,0.0026888471781008993
41,a_C(site_loc)[dACC]_subj.907,1.6888333658431773,0.09221561388067641,1.5207260803055282,1.6242619635657212,1.6854160748039422,1.7477450109642592,1.8809731385180197,0.0019296230708614494
42,a_C(site_loc)[dACC]_subj.908,1.2555408568707576,0.0790862029437257,1.1146181275173543,1.2002525206672074,1.2507741468798421,1.306248463929506,1.4203008724758883,0.002055817821271181
43,a_C(site_loc)[dACC]_subj.910,1.965203820589417,0.11290548999902617,1.7535206959646075,1.8864758732492857,1.9616664672593973,2.038281526871404,2.196346348541292,0.002305308036988666
44,a_C(site_loc)[dACC]_subj.911,2.2489981008620847,0.11656753012512848,2.041702171146398,2.167434708007461,2.2431743854817974,2.3225002859590456,2.4927862788106165,0.0025481251710593386
45,a_C(site_loc)[dACC]_subj.912,1.6763548664194867,0.09597061552810145,1.4995394176235908,1.6105470195934293,1.6713144486936191,1.7379213223468033,1.87980789406757,0.0020539728743913513
46,a_C(site_loc)[dACC]_subj.913,1.5558451237894577,0.09003109714960608,1.390254257645571,1.4922685774421331,1.5533397478169637,1.6138866213590182,1.7414531015581594,0.0016378879469105523
