,condition,mean,std,2.5q,25q,50q,75q,97.5q,mc err
42,v_C(trial_type)[hard]_subj.908.0,0.8421606533486398,0.1783863153813156,0.49766263688138335,0.7195930153441762,0.8414008078785885,0.9583132923036904,1.20826532848952,0.005849975375113297
43,v_C(trial_type)[hard]_subj.910.0,1.0852072606583216,0.1371438005759155,0.819844097840884,0.9945960319203037,1.086502516690454,1.1739904621882988,1.3594615189503314,0.004305670289524934
44,v_C(trial_type)[hard]_subj.911.0,0.3210708844591568,0.13205481630338695,0.06361313900293167,0.22600948651552655,0.3234934537036005,0.41149361492023095,0.5805035117853283,0.0038228584232621204
45,v_C(trial_type)[hard]_subj.912.0,0.7663142892175842,0.15503291515246065,0.4779308416610428,0.6537226472674093,0.7711378216862037,0.8710846290202228,1.0735054330578206,0.004841383409272402
46,v_C(trial_type)[hard]_subj.913.0,0.7025740745287155,0.1667899522917475,0.3885880733344639,0.5837469018657608,0.7036887668719581,0.8165032558093315,1.0257410761797485,0.005220046014321815
47,v_C(trial_type)[hard]_subj.914.0,0.4998585841858974,0.1579420978826941,0.18281410949154603,0.39530022955094557,0.5042331865906012,0.6042409911829121,0.8139553435994678,0.003854089541764165
48,a_C(trial_type)[easy],1.756911354266095,0.1255169536783591,1.5349525659999192,1.675014651621351,1.7524313311223416,1.8265388227315398,2.03958610096587,0.004201517555505297
49,a_C(trial_type)[easy]_std,0.3931166434672701,0.11902060260255738,0.23163422180767096,0.3092234104270567,0.37224564961398626,0.44865299071867737,0.6964184092122021,0.0053663245381425214
50,a_C(trial_type)[easy]_subj.902.0,1.3108005707633512,0.07543785756564893,1.1716796425867448,1.2595052329264615,1.3062436205676466,1.359981817282058,1.4684439431711689,0.0025515483342937626
51,a_C(trial_type)[easy]_subj.904.0,1.8570600871812086,0.09198603128271064,1.6864764721714949,1.7909111170888572,1.8556939673161224,1.9188048779836075,2.04629699283823,0.0030487879284499474
52,a_C(trial_type)[easy]_subj.906.0,2.0278867912393057,0.1085630944877195,1.8271857587811593,1.9528314092505976,2.0226135409481736,2.0955476718481654,2.270261938042384,0.003913837433783237
53,a_C(trial_type)[easy]_subj.907.0,1.6920610916916843,0.0884662156570261,1.5299773776917782,1.6300393428633133,1.6900930288323344,1.7481382569416857,1.8696261024167395,0.002990026221259083
54,a_C(trial_type)[easy]_subj.908.0,1.2854458888729325,0.07063057913956916,1.1548234276871114,1.2357185104578854,1.281195028172975,1.3281479540503929,1.4384767431443504,0.0027936421906362297
55,a_C(trial_type)[easy]_subj.910.0,2.01529096011375,0.1101565386520551,1.806729605756493,1.9400523062522577,2.0130888482418277,2.084330773613543,2.255604021853501,0.004195758874838556
56,a_C(trial_type)[easy]_subj.911.0,2.326971637952517,0.1239857976664293,2.098473823744003,2.2352868009905116,2.320254497299812,2.4131937716636584,2.5761706649640295,0.0045665880273288145
57,a_C(trial_type)[easy]_subj.912.0,1.7070872031483917,0.08649130202234664,1.5492578108532367,1.6477995065804136,1.708568479444314,1.7607858478315654,1.88560029264713,0.002992968046882167
58,a_C(trial_type)[easy]_subj.913.0,1.4640384337576378,0.07963031246602231,1.3290641806816021,1.4070173050995778,1.4589168898390552,1.5151685831181547,1.6322160006438984,0.0028979749374281162
59,a_C(trial_type)[easy]_subj.914.0,1.7698566909975488,0.07990352685804696,1.6315811687015795,1.711599573246617,1.7664050723788842,1.8224776367838214,1.9322568279002474,0.002440344041736289
